Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,UK Pound Sterling/US Dollar FX Spot Rate | Price History                                          26-Jan-2022 16:32
23-Jan-2019,1.3067,1.3072,1.3080,1.2940,1.2956,180175,+0.0110,
22-Jan-2019,1.2957,1.2960,1.2975,1.2853,1.2888,179606,+0.0067,
21-Jan-2019,1.2890,1.2895,1.2910,1.2828,1.2882,167110,+0.0017,
18-Jan-2019,1.2873,1.2877,1.2993,1.2854,1.2984,174256,-0.0111,
17-Jan-2019,1.2984,1.2989,1.3000,1.2830,1.2883,188370,+0.0103,
16-Jan-2019,1.2881,1.2885,1.2896,1.2823,1.2858,182415,+0.0023,
15-Jan-2019,1.2858,1.2863,1.2915,1.2668,1.2860,184956,-0.0005,
14-Jan-2019,1.2863,1.2867,1.2929,1.2815,1.2847,150927,+0.0022,
11-Jan-2019,1.2841,1.2845,1.2865,1.2708,1.2755,180386,+0.0094,
10-Jan-2019,1.2747,1.2751,1.2801,1.2726,1.2787,186541,-0.0041,
09-Jan-2019,1.2788,1.2792,1.2804,1.2710,1.2716,172034,+0.0071,
08-Jan-2019,1.2717,1.2722,1.2796,1.2704,1.2778,143140,-0.0061,
07-Jan-2019,1.2778,1.2783,1.2786,1.2715,1.2727,112420,+0.0052,
04-Jan-2019,1.2726,1.2730,1.2744,1.2614,1.2627,171793,+0.0095,
03-Jan-2019,1.2631,1.2636,1.2648,1.2436,1.2603,181539,+0.0024,
02-Jan-2019,1.2607,1.2612,1.2774,1.2579,1.2740,166141,-0.0144,
01-Jan-2019,1.2751,1.2753,1.2763,1.2724,1.2759,4536,-0.0006,
31-Dec-2018,1.2757,1.2762,1.2814,1.2678,1.2680,128980,+0.0052,
28-Dec-2018,1.2705,1.2709,1.2710,1.2633,1.2642,192356,+0.0063,
27-Dec-2018,1.2642,1.2646,1.2674,1.2614,1.2630,198723,+0.0010,
26-Dec-2018,1.2632,1.2636,1.2719,1.2629,1.2673,166382,-0.0052,
25-Dec-2018,1.2684,1.2689,1.2727,1.2663,1.2723,61139,-0.0038,
24-Dec-2018,1.2722,1.2726,1.2742,1.2628,1.2650,154580,+0.0092,
21-Dec-2018,1.2630,1.2633,1.2697,1.2616,1.2657,192647,-0.0025,
20-Dec-2018,1.2655,1.2660,1.2706,1.2606,1.2609,225626,+0.0048,
19-Dec-2018,1.2607,1.2613,1.2678,1.2605,1.2638,217351,-0.0037,
18-Dec-2018,1.2644,1.2649,1.2705,1.2608,1.2622,194644,+0.0019,
17-Dec-2018,1.2625,1.2629,1.2646,1.2567,1.2589,159653,+0.0042,
14-Dec-2018,1.2583,1.2585,1.2674,1.2527,1.2654,203824,-0.0072,
13-Dec-2018,1.2655,1.2660,1.2685,1.2608,1.2633,220640,+0.0026,
12-Dec-2018,1.2629,1.2634,1.2671,1.2475,1.2486,231654,+0.0145,
11-Dec-2018,1.2484,1.2488,1.2638,1.2478,1.2561,216997,-0.0075,
10-Dec-2018,1.2559,1.2562,1.2759,1.2505,1.2727,221608,-0.0167,
07-Dec-2018,1.2726,1.2731,1.2810,1.2708,1.2782,219403,-0.0056,
06-Dec-2018,1.2782,1.2787,1.2810,1.2698,1.2731,232510,+0.0051,
05-Dec-2018,1.2731,1.2736,1.2797,1.2669,1.2722,208562,+0.0013,
04-Dec-2018,1.2718,1.2722,1.2839,1.2657,1.2723,222761,-0.0004,
03-Dec-2018,1.2722,1.2726,1.2824,1.2697,1.2767,189980,-0.0029,
30-Nov-2018,1.2751,1.2754,1.2809,1.2733,1.2790,215542,-0.0041,
29-Nov-2018,1.2792,1.2797,1.2850,1.2753,1.2822,235258,-0.0032,
28-Nov-2018,1.2824,1.2826,1.2847,1.2730,1.2745,225252,+0.0077,
27-Nov-2018,1.2747,1.2752,1.2834,1.2723,1.2833,218747,-0.0086,
26-Nov-2018,1.2833,1.2836,1.2863,1.2794,1.2852,179463,+0.0021,
23-Nov-2018,1.2812,1.2816,1.2882,1.2797,1.2877,208603,-0.0064,
22-Nov-2018,1.2876,1.2880,1.2926,1.2767,1.2774,199321,+0.0101,
21-Nov-2018,1.2775,1.2780,1.2819,1.2761,1.2786,199384,-0.0011,
20-Nov-2018,1.2786,1.2790,1.2882,1.2774,1.2849,201825,-0.0063,
19-Nov-2018,1.2849,1.2853,1.2883,1.2793,1.2827,171464,+0.0012,
16-Nov-2018,1.2837,1.2841,1.2877,1.2756,1.2770,225036,+0.0063,
15-Nov-2018,1.2774,1.2778,1.3029,1.2722,1.2989,243208,-0.0220,
14-Nov-2018,1.2994,1.2999,1.3071,1.2883,1.2977,232556,+0.0023,
13-Nov-2018,1.2971,1.2976,1.3047,1.2838,1.2846,229078,+0.0124,
12-Nov-2018,1.2847,1.2851,1.2965,1.2825,1.2958,204488,-0.0127,
09-Nov-2018,1.2974,1.2979,1.3079,1.2956,1.3060,185752,-0.0087,
08-Nov-2018,1.3061,1.3062,1.3149,1.3043,1.3125,194070,-0.0063,
07-Nov-2018,1.3124,1.3128,1.3174,1.3071,1.3100,215720,+0.0027,
06-Nov-2018,1.3097,1.3100,1.3107,1.3019,1.3039,184994,+0.0057,
05-Nov-2018,1.3040,1.3044,1.3062,1.2963,1.3023,167507,+0.0070,
02-Nov-2018,1.2970,1.2975,1.3040,1.2948,1.3009,198418,-0.0039,
01-Nov-2018,1.3009,1.3012,1.3035,1.2758,1.2767,215489,+0.0244,
31-Oct-2018,1.2765,1.2767,1.2830,1.2696,1.2704,187921,+0.0061,
30-Oct-2018,1.2704,1.2709,1.2812,1.2694,1.2791,190714,-0.0087,
29-Oct-2018,1.2791,1.2796,1.2852,1.2789,1.2826,170176,-0.0040,
26-Oct-2018,1.2831,1.2836,1.2841,1.2775,1.2815,207009,+0.0016,
25-Oct-2018,1.2815,1.2819,1.2919,1.2796,1.2881,205951,-0.0065,
24-Oct-2018,1.2880,1.2882,1.2992,1.2865,1.2981,198185,-0.0102,
23-Oct-2018,1.2982,1.2984,1.3044,1.2935,1.2963,204849,+0.0021,
22-Oct-2018,1.2961,1.2964,1.3090,1.2953,1.3067,163922,-0.0109,
19-Oct-2018,1.3070,1.3073,1.3103,1.3009,1.3016,192317,+0.0053,
18-Oct-2018,1.3017,1.3019,1.3131,1.3014,1.3112,207918,-0.0096,
17-Oct-2018,1.3113,1.3117,1.3192,1.3098,1.3181,191538,-0.0071,
16-Oct-2018,1.3184,1.3189,1.3235,1.3139,1.3150,187160,+0.0034,
15-Oct-2018,1.3150,1.3155,1.3181,1.3077,1.3138,171930,-0.0004,
12-Oct-2018,1.3154,1.3157,1.3258,1.3147,1.3224,195849,-0.0079,
11-Oct-2018,1.3233,1.3238,1.3246,1.3180,1.3193,217313,+0.0039,
10-Oct-2018,1.3194,1.3197,1.3216,1.3132,1.3142,189318,+0.0052,
09-Oct-2018,1.3142,1.3146,1.3150,1.3030,1.3089,174416,+0.0054,
08-Oct-2018,1.3088,1.3092,1.3134,1.3026,1.3106,150103,-0.0034,
05-Oct-2018,1.3122,1.3125,1.3124,1.3001,1.3018,198609,+0.0104,
04-Oct-2018,1.3018,1.3022,1.3040,1.2919,1.2939,188830,+0.0080,
03-Oct-2018,1.2938,1.2942,1.3022,1.2922,1.2977,203873,-0.0039,
02-Oct-2018,1.2977,1.2981,1.3055,1.2938,1.3042,178126,-0.0064,
01-Oct-2018,1.3041,1.3045,1.3110,1.3009,1.3029,149007,+0.0013,
28-Sep-2018,1.3028,1.3033,1.3090,1.2998,1.3079,182106,-0.0052,
27-Sep-2018,1.3080,1.3084,1.3186,1.3073,1.3166,212817,-0.0088,
26-Sep-2018,1.3168,1.3172,1.3217,1.3136,1.3183,200608,-0.0013,
25-Sep-2018,1.3181,1.3185,1.3193,1.3092,1.3119,188599,+0.0062,
24-Sep-2018,1.3119,1.3124,1.3166,1.3053,1.3066,163769,+0.0043,
21-Sep-2018,1.3076,1.3079,1.3277,1.3053,1.3266,189309,-0.0189,
20-Sep-2018,1.3265,1.3269,1.3297,1.3133,1.3142,180698,+0.0123,
19-Sep-2018,1.3142,1.3147,1.3213,1.3093,1.3147,188643,-0.0005,
18-Sep-2018,1.3147,1.3150,1.3172,1.3117,1.3157,187856,-0.0009,
17-Sep-2018,1.3156,1.3161,1.3165,1.3066,1.3066,129247,+0.0090,
14-Sep-2018,1.3066,1.3069,1.3142,1.3054,1.3105,160313,-0.0039,
13-Sep-2018,1.3105,1.3109,1.3121,1.3024,1.3045,163274,+0.0059,
12-Sep-2018,1.3046,1.3050,1.3079,1.2978,1.3031,155262,+0.0013,
11-Sep-2018,1.3033,1.3038,1.3086,1.2967,1.3024,152477,+0.0008,
10-Sep-2018,1.3025,1.3028,1.3051,1.2895,1.2934,143976,+0.0104,
07-Sep-2018,1.2921,1.2926,1.3028,1.2907,1.2930,175707,-0.0009,
06-Sep-2018,1.2930,1.2934,1.2961,1.2893,1.2903,171047,+0.0028,
05-Sep-2018,1.2902,1.2906,1.2982,1.2783,1.2852,168363,+0.0048,
04-Sep-2018,1.2854,1.2859,1.2881,1.2808,1.2864,176064,-0.0016,
03-Sep-2018,1.2870,1.2874,1.2969,1.2852,1.2969,158652,-0.0091,
31-Aug-2018,1.2961,1.2966,1.3028,1.2944,1.3011,194042,-0.0047,
30-Aug-2018,1.3008,1.3012,1.3043,1.2983,1.3025,193639,-0.0016,
29-Aug-2018,1.3024,1.3029,1.3032,1.2843,1.2874,188865,+0.0149,
28-Aug-2018,1.2875,1.2880,1.2931,1.2859,1.2891,174651,-0.0016,
27-Aug-2018,1.2891,1.2895,1.2901,1.2827,1.2838,139991,+0.0048,
24-Aug-2018,1.2843,1.2847,1.2881,1.2797,1.2813,170143,+0.0033,
23-Aug-2018,1.2810,1.2813,1.2919,1.2802,1.2910,168362,-0.0099,
22-Aug-2018,1.2909,1.2913,1.2936,1.2866,1.2903,163623,+0.0010,
21-Aug-2018,1.2899,1.2904,1.2925,1.2791,1.2794,177837,+0.0103,
20-Aug-2018,1.2796,1.2801,1.2799,1.2727,1.2738,138117,+0.0046,
17-Aug-2018,1.2750,1.2755,1.2753,1.2696,1.2714,169257,+0.0033,
16-Aug-2018,1.2717,1.2722,1.2754,1.2684,1.2694,189409,+0.0021,
15-Aug-2018,1.2696,1.2700,1.2740,1.2660,1.2725,183700,-0.0027,
14-Aug-2018,1.2723,1.2727,1.2825,1.2702,1.2769,186570,-0.0043,
13-Aug-2018,1.2766,1.2770,1.2791,1.2727,1.2766,161583,-0.0001,
10-Aug-2018,1.2767,1.2771,1.2836,1.2721,1.2822,199368,-0.0055,
09-Aug-2018,1.2822,1.2826,1.2911,1.2818,1.2879,161960,-0.0057,
08-Aug-2018,1.2879,1.2884,1.2961,1.2851,1.2936,155298,-0.0058,
07-Aug-2018,1.2937,1.2942,1.2973,1.2922,1.2941,155702,-0.0004,
06-Aug-2018,1.2941,1.2946,1.3017,1.2917,1.3009,137507,-0.0064,
03-Aug-2018,1.3005,1.3010,1.3042,1.2973,1.3017,165557,-0.0012,
02-Aug-2018,1.3017,1.3020,1.3129,1.3012,1.3123,174497,-0.0107,
01-Aug-2018,1.3124,1.3128,1.3144,1.3093,1.3125,161526,0.0000,
31-Jul-2018,1.3124,1.3129,1.3172,1.3088,1.3131,172997,-0.0007,
30-Jul-2018,1.3131,1.3135,1.3152,1.3091,1.3093,140218,+0.0028,
27-Jul-2018,1.3103,1.3106,1.3131,1.3080,1.3107,152084,-0.0004,
26-Jul-2018,1.3107,1.3111,1.3213,1.3103,1.3189,177299,-0.0080,
25-Jul-2018,1.3187,1.3191,1.3200,1.3130,1.3142,188060,+0.0044,
24-Jul-2018,1.3143,1.3147,1.3159,1.3069,1.3099,182435,+0.0042,
23-Jul-2018,1.3101,1.3104,1.3158,1.3080,1.3121,159930,-0.0031,
20-Jul-2018,1.3132,1.3136,1.3139,1.2992,1.3012,198596,+0.0120,
19-Jul-2018,1.3012,1.3016,1.3083,1.2955,1.3067,192907,-0.0056,
18-Jul-2018,1.3068,1.3070,1.3123,1.3008,1.3113,184510,-0.0044,
17-Jul-2018,1.3112,1.3118,1.3268,1.3069,1.3233,196603,-0.0121,
16-Jul-2018,1.3233,1.3238,1.3292,1.3214,1.3227,137824,+0.0001,
13-Jul-2018,1.3232,1.3237,1.3239,1.3101,1.3204,185654,+0.0028,
12-Jul-2018,1.3204,1.3208,1.3244,1.3178,1.3203,179373,+0.0001,
11-Jul-2018,1.3203,1.3208,1.3285,1.3197,1.3276,181724,-0.0071,
10-Jul-2018,1.3274,1.3278,1.3300,1.3222,1.3258,168341,+0.0017,
09-Jul-2018,1.3257,1.3261,1.3362,1.3188,1.3302,163769,-0.0026,
06-Jul-2018,1.3283,1.3288,1.3290,1.3201,1.3225,175156,+0.0058,
05-Jul-2018,1.3225,1.3229,1.3274,1.3201,1.3228,186422,-0.0005,
04-Jul-2018,1.3230,1.3235,1.3249,1.3168,1.3193,167532,+0.0039,
03-Jul-2018,1.3191,1.3195,1.3206,1.3113,1.3141,169068,+0.0050,
02-Jul-2018,1.3141,1.3145,1.3209,1.3092,1.3180,148026,-0.0066,
29-Jun-2018,1.3207,1.3210,1.3213,1.3066,1.3076,189633,+0.0131,
28-Jun-2018,1.3076,1.3080,1.3121,1.3048,1.3112,191543,-0.0034,
27-Jun-2018,1.3110,1.3115,1.3243,1.3104,1.3226,178623,-0.0116,
26-Jun-2018,1.3226,1.3230,1.3292,1.3190,1.3282,171610,-0.0048,
25-Jun-2018,1.3274,1.3280,1.3289,1.3219,1.3273,149072,+0.0006,
22-Jun-2018,1.3268,1.3271,1.3314,1.3235,1.3250,166050,+0.0018,
21-Jun-2018,1.3250,1.3254,1.3269,1.3099,1.3174,189473,+0.0079,
20-Jun-2018,1.3171,1.3175,1.3215,1.3146,1.3172,174825,-0.0007,
19-Jun-2018,1.3178,1.3182,1.3273,1.3148,1.3242,179545,-0.0064,
18-Jun-2018,1.3242,1.3246,1.3285,1.3223,1.3260,124947,-0.0041,
15-Jun-2018,1.3283,1.3288,1.3297,1.3209,1.3260,180835,+0.0022,
14-Jun-2018,1.3261,1.3264,1.3446,1.3255,1.3373,181887,-0.0113,
13-Jun-2018,1.3374,1.3378,1.3390,1.3306,1.3371,163543,+0.0004,
12-Jun-2018,1.3370,1.3374,1.3424,1.3340,1.3380,151091,-0.0003,
11-Jun-2018,1.3373,1.3377,1.3441,1.3343,1.3402,134245,-0.0037,
08-Jun-2018,1.3410,1.3413,1.3438,1.3352,1.3420,175428,-0.0010,
07-Jun-2018,1.3420,1.3425,1.3471,1.3371,1.3410,187404,+0.0009,
06-Jun-2018,1.3411,1.3415,1.3443,1.3381,1.3394,180858,+0.0017,
05-Jun-2018,1.3394,1.3399,1.3409,1.3300,1.3311,178522,+0.0083,
04-Jun-2018,1.3311,1.3314,1.3399,1.3292,1.3336,140790,-0.0036,
01-Jun-2018,1.3347,1.3349,1.3362,1.3251,1.3298,192038,+0.0049,
31-May-2018,1.3298,1.3303,1.3347,1.3275,1.3287,190758,+0.0009,
30-May-2018,1.3289,1.3294,1.3307,1.3240,1.3248,192587,+0.0038,
29-May-2018,1.3251,1.3256,1.3325,1.3203,1.3309,187341,-0.0060,
28-May-2018,1.3311,1.3316,1.3340,1.3293,1.3305,133370,+0.0004,
25-May-2018,1.3307,1.3311,1.3391,1.3292,1.3378,177914,-0.0072,
24-May-2018,1.3379,1.3383,1.3421,1.3337,1.3344,197381,+0.0033,
23-May-2018,1.3346,1.3351,1.3442,1.3303,1.3434,188799,-0.0088,
22-May-2018,1.3434,1.3437,1.3491,1.3410,1.3429,168169,+0.0006,
21-May-2018,1.3428,1.3433,1.3483,1.3389,1.3470,136574,-0.0043,
18-May-2018,1.3471,1.3476,1.3528,1.3452,1.3515,145572,-0.0044,
17-May-2018,1.3515,1.3519,1.3569,1.3471,1.3487,176353,+0.0030,
16-May-2018,1.3485,1.3491,1.3520,1.3453,1.3503,183703,-0.0019,
15-May-2018,1.3504,1.3509,1.3572,1.3449,1.3555,160350,-0.0050,
14-May-2018,1.3554,1.3558,1.3608,1.3536,1.3545,118459,+0.0013,
11-May-2018,1.3541,1.3546,1.3595,1.3500,1.3518,152352,+0.0025,
10-May-2018,1.3516,1.3518,1.3617,1.3457,1.3543,171833,-0.0028,
09-May-2018,1.3544,1.3549,1.3606,1.3496,1.3544,133412,0.0000,
08-May-2018,1.3544,1.3548,1.3591,1.3482,1.3555,153383,-0.0011,
07-May-2018,1.3555,1.3559,1.3575,1.3513,1.3534,104608,+0.0025,
04-May-2018,1.3530,1.3535,1.3586,1.3485,1.3574,132791,-0.0044,
03-May-2018,1.3574,1.3578,1.3629,1.3535,1.3578,150021,-0.0002,
02-May-2018,1.3576,1.3580,1.3666,1.3552,1.3612,134145,-0.0035,
01-May-2018,1.3611,1.3617,1.3773,1.3586,1.3759,133096,-0.0158,
30-Apr-2018,1.3769,1.3774,1.3792,1.3711,1.3785,114062,-0.0009,
27-Apr-2018,1.3778,1.3782,1.3935,1.3745,1.3918,152078,-0.0136,
26-Apr-2018,1.3914,1.3918,1.3997,1.3893,1.3931,174573,-0.0015,
25-Apr-2018,1.3929,1.3933,1.3996,1.3921,1.3977,149203,-0.0046,
24-Apr-2018,1.3975,1.3979,1.3987,1.3916,1.3938,151598,+0.0036,
23-Apr-2018,1.3939,1.3943,1.4031,1.3924,1.4018,144320,-0.0064,
20-Apr-2018,1.4003,1.4006,1.4091,1.3992,1.4085,183711,-0.0087,
19-Apr-2018,1.4090,1.4093,1.4245,1.4067,1.4200,175740,-0.0111,
18-Apr-2018,1.4201,1.4205,1.4314,1.4171,1.4286,157572,-0.0085,
17-Apr-2018,1.4286,1.4290,1.4376,1.4280,1.4334,172304,-0.0049,
16-Apr-2018,1.4335,1.4341,1.4344,1.4224,1.4251,144818,+0.0096,
13-Apr-2018,1.4239,1.4243,1.4296,1.4218,1.4224,164240,+0.0014,
12-Apr-2018,1.4225,1.4230,1.4246,1.4143,1.4175,176886,+0.0049,
11-Apr-2018,1.4176,1.4181,1.4222,1.4158,1.4174,164957,+0.0004,
10-Apr-2018,1.4172,1.4178,1.4188,1.4118,1.4128,173904,+0.0043,
09-Apr-2018,1.4129,1.4133,1.4164,1.4075,1.4096,141096,+0.0039,
06-Apr-2018,1.4090,1.4095,1.4104,1.3980,1.4001,186415,+0.0089,
05-Apr-2018,1.4001,1.4006,1.4097,1.3963,1.4076,176137,-0.0079,
04-Apr-2018,1.4080,1.4083,1.4096,1.4012,1.4057,184916,+0.0024,
03-Apr-2018,1.4056,1.4061,1.4089,1.4018,1.4043,155223,+0.0013,
02-Apr-2018,1.4043,1.4048,1.4077,1.4017,1.4024,108161,+0.0028,
30-Mar-2018,1.4015,1.4020,1.4060,1.4007,1.4015,150881,0.0000,
29-Mar-2018,1.4015,1.4019,1.4096,1.4008,1.4075,181321,-0.0061,
28-Mar-2018,1.4076,1.4079,1.4200,1.4068,1.4152,186315,-0.0078,
27-Mar-2018,1.4154,1.4160,1.4243,1.4064,1.4228,183630,-0.0072,
26-Mar-2018,1.4226,1.4231,1.4244,1.4130,1.4139,156713,+0.0094,
23-Mar-2018,1.4132,1.4135,1.4171,1.4083,1.4094,201190,+0.0038,
22-Mar-2018,1.4094,1.4098,1.4216,1.4074,1.4139,201379,-0.0045,
21-Mar-2018,1.4139,1.4144,1.4150,1.3994,1.3995,192334,+0.0142,
20-Mar-2018,1.3997,1.3999,1.4066,1.3980,1.4023,190115,-0.0026,
19-Mar-2018,1.4023,1.4025,1.4087,1.3910,1.3930,164153,+0.0084,
16-Mar-2018,1.3939,1.3942,1.3979,1.3885,1.3934,172014,+0.0003,
15-Mar-2018,1.3936,1.3939,1.3988,1.3919,1.3960,187416,-0.0023,
14-Mar-2018,1.3959,1.3963,1.3996,1.3924,1.3959,186135,0.0000,
13-Mar-2018,1.3959,1.3964,1.3994,1.3873,1.3904,176527,+0.0054,
12-Mar-2018,1.3905,1.3906,1.3917,1.3838,1.3851,139675,+0.0058,
09-Mar-2018,1.3847,1.3851,1.3888,1.3786,1.3809,144258,+0.0037,
08-Mar-2018,1.3810,1.3814,1.3909,1.3780,1.3898,163866,-0.0089,
07-Mar-2018,1.3899,1.3904,1.3912,1.3844,1.3885,197609,+0.0014,
06-Mar-2018,1.3885,1.3890,1.3929,1.3814,1.3848,192261,+0.0037,
05-Mar-2018,1.3848,1.3850,1.3876,1.3765,1.3796,170552,+0.0046,
02-Mar-2018,1.3802,1.3808,1.3816,1.3754,1.3774,197730,+0.0028,
01-Mar-2018,1.3774,1.3778,1.3784,1.3710,1.3760,193050,+0.0014,
28-Feb-2018,1.3760,1.3761,1.3915,1.3755,1.3907,199722,-0.0147,
27-Feb-2018,1.3907,1.3912,1.3996,1.3855,1.3965,194197,-0.0058,
26-Feb-2018,1.3965,1.3969,1.4069,1.3926,1.3972,147625,0.0000,
23-Feb-2018,1.3965,1.3970,1.4005,1.3903,1.3959,163997,+0.0011,
22-Feb-2018,1.3954,1.3958,1.3986,1.3855,1.3917,181196,+0.0037,
21-Feb-2018,1.3917,1.3919,1.4008,1.3904,1.3995,199065,-0.0077,
20-Feb-2018,1.3994,1.3998,1.4024,1.3929,1.4003,190457,-0.0009,
19-Feb-2018,1.4003,1.4007,1.4049,1.3956,1.4032,141603,-0.0037,
16-Feb-2018,1.4040,1.4045,1.4144,1.3995,1.4097,188760,-0.0056,
15-Feb-2018,1.4096,1.4101,1.4103,1.3988,1.4000,202415,+0.0100,
14-Feb-2018,1.3996,1.4000,1.4016,1.3797,1.3892,204278,+0.0106,
13-Feb-2018,1.3890,1.3894,1.3923,1.3830,1.3835,196928,+0.0055,
12-Feb-2018,1.3835,1.3840,1.3875,1.3794,1.3825,161399,0.0000,
09-Feb-2018,1.3835,1.3840,1.3987,1.3763,1.3911,208660,-0.0076,
08-Feb-2018,1.3911,1.3916,1.4065,1.3844,1.3876,217330,+0.0031,
07-Feb-2018,1.3880,1.3884,1.3992,1.3846,1.3947,196081,-0.0067,
06-Feb-2018,1.3947,1.3950,1.3999,1.3834,1.3958,220448,-0.0010,
05-Feb-2018,1.3957,1.3960,1.4150,1.3953,1.4129,159634,-0.0163,
02-Feb-2018,1.4120,1.4125,1.4277,1.4099,1.4262,189451,-0.0144,
01-Feb-2018,1.4264,1.4266,1.4277,1.4157,1.4190,201447,+0.0074,
31-Jan-2018,1.4190,1.4194,1.4232,1.4119,1.4146,215307,+0.0045,
30-Jan-2018,1.4145,1.4148,1.4165,1.3977,1.4072,195921,+0.0073,
29-Jan-2018,1.4072,1.4077,1.4161,1.4024,1.4161,158260,-0.0096,
26-Jan-2018,1.4168,1.4173,1.4285,1.4107,1.4145,204866,+0.0023,
25-Jan-2018,1.4145,1.4148,1.4344,1.4081,1.4242,209566,-0.0096,
24-Jan-2018,1.4241,1.4245,1.4261,1.3995,1.3997,192945,+0.0242,
23-Jan-2018,1.3999,1.4003,1.4026,1.3914,1.3987,182818,+0.0014,
22-Jan-2018,1.3985,1.3990,1.3990,1.3855,1.3878,133593,+0.0136,
19-Jan-2018,1.3849,1.3854,1.3945,1.3837,1.3894,139405,-0.0042,
18-Jan-2018,1.3891,1.3895,1.3912,1.3803,1.3829,134489,+0.0066,
17-Jan-2018,1.3825,1.3829,1.3942,1.3755,1.3789,141934,+0.0034,
16-Jan-2018,1.3791,1.3794,1.3805,1.3739,1.3789,126674,+0.0002,
15-Jan-2018,1.3789,1.3795,1.3819,1.3720,1.3728,126679,+0.0062,
12-Jan-2018,1.3727,1.3732,1.3741,1.3532,1.3535,119851,+0.0191,
11-Jan-2018,1.3536,1.3540,1.3554,1.3455,1.3504,123150,+0.0031,
10-Jan-2018,1.3505,1.3509,1.3562,1.3480,1.3539,131604,-0.0034,
09-Jan-2018,1.3539,1.3541,1.3582,1.3505,1.3569,115898,-0.0027,
08-Jan-2018,1.3566,1.3570,1.3585,1.3521,1.3570,74561,-0.0002,
05-Jan-2018,1.3568,1.3573,1.3581,1.3521,1.3549,82099,+0.0017,
04-Jan-2018,1.3551,1.3555,1.3560,1.3503,1.3513,87527,+0.0037,
03-Jan-2018,1.3514,1.3517,1.3612,1.3495,1.3587,84795,-0.0072,
02-Jan-2018,1.3586,1.3590,1.3600,1.3498,1.3505,73285,+0.0085,
01-Jan-2018,1.3501,1.3506,1.3520,1.3491,1.3512,3228,-0.0011,
29-Dec-2017,1.3512,1.3517,1.3543,1.3425,1.3442,95798,+0.0070,
28-Dec-2017,1.3442,1.3445,1.3456,1.3390,1.3396,106470,+0.0047,
27-Dec-2017,1.3395,1.3399,1.3429,1.3366,1.3373,104996,+0.0023,
26-Dec-2017,1.3372,1.3376,1.3389,1.3345,1.3369,81021,+0.0004,
25-Dec-2017,1.3368,1.3370,1.3395,1.3354,1.3356,18063,+0.0008,
22-Dec-2017,1.3360,1.3365,1.3397,1.3346,1.3384,122652,-0.0024,
21-Dec-2017,1.3384,1.3387,1.3387,1.3329,1.3374,132115,+0.0011,
20-Dec-2017,1.3373,1.3378,1.3420,1.3369,1.3384,129064,-0.0010,
19-Dec-2017,1.3383,1.3388,1.3401,1.3329,1.3380,126423,+0.0003,
18-Dec-2017,1.3380,1.3385,1.3418,1.3307,1.3325,116218,+0.0061,
15-Dec-2017,1.3319,1.3324,1.3447,1.3300,1.3428,123585,-0.0111,
14-Dec-2017,1.3430,1.3433,1.3462,1.3388,1.3417,127153,+0.0012,
13-Dec-2017,1.3418,1.3422,1.3420,1.3309,1.3315,119333,+0.0103,
12-Dec-2017,1.3315,1.3319,1.3379,1.3302,1.3337,123077,-0.0022,
11-Dec-2017,1.3337,1.3341,1.3430,1.3329,1.3390,115424,-0.0052,
08-Dec-2017,1.3389,1.3394,1.3519,1.3352,1.3474,141214,-0.0084,
07-Dec-2017,1.3473,1.3475,1.3484,1.3318,1.3390,135210,+0.0081,
06-Dec-2017,1.3392,1.3396,1.3447,1.3355,1.3440,127996,-0.0050,
05-Dec-2017,1.3442,1.3444,1.3482,1.3369,1.3478,131118,-0.0036,
04-Dec-2017,1.3478,1.3481,1.3538,1.3416,1.3478,128860,+0.0008,
01-Dec-2017,1.3470,1.3475,1.3549,1.3443,1.3523,147602,-0.0055,
30-Nov-2017,1.3525,1.3528,1.3548,1.3404,1.3408,153555,+0.0119,
29-Nov-2017,1.3406,1.3411,1.3447,1.3337,1.3338,151597,+0.0070,
28-Nov-2017,1.3336,1.3340,1.3386,1.3219,1.3310,149892,+0.0020,
27-Nov-2017,1.3316,1.3320,1.3382,1.3308,1.3335,119510,-0.0019,
24-Nov-2017,1.3335,1.3340,1.3359,1.3277,1.3306,107017,+0.0028,
23-Nov-2017,1.3307,1.3312,1.3336,1.3282,1.3323,108503,-0.0017,
22-Nov-2017,1.3324,1.3329,1.3329,1.3211,1.3237,135694,+0.0087,
21-Nov-2017,1.3237,1.3242,1.3267,1.3208,1.3233,134446,+0.0004,
20-Nov-2017,1.3233,1.3236,1.3279,1.3183,1.3216,134497,+0.0022,
17-Nov-2017,1.3211,1.3216,1.3259,1.3167,1.3193,129377,+0.0018,
16-Nov-2017,1.3193,1.3197,1.3207,1.3133,1.3169,133980,+0.0025,
15-Nov-2017,1.3168,1.3174,1.3213,1.3128,1.3164,142756,+0.0005,
14-Nov-2017,1.3163,1.3167,1.3186,1.3073,1.3114,133190,+0.0049,
13-Nov-2017,1.3114,1.3118,1.3196,1.3060,1.3181,134708,-0.0074,
10-Nov-2017,1.3188,1.3193,1.3229,1.3110,1.3145,135438,+0.0039,
09-Nov-2017,1.3149,1.3153,1.3165,1.3084,1.3113,144040,+0.0036,
08-Nov-2017,1.3113,1.3119,1.3175,1.3084,1.3164,129217,-0.0052,
07-Nov-2017,1.3165,1.3169,1.3177,1.3107,1.3168,126648,-0.0005,
